symbol 0
0 0 0.01
0 1 0.07
0 2 0.25
0 3 0.48
0 4 0.63
0 5 0.66
0 6 0.66
0 7 0.63
0 8 0.48
0 9 0.25
0 10 0.07
0 11 0.01
1 0 0.07
1 1 0.21
1 2 0.49
1 3 0.77
1 4 0.90
1 5 0.91
1 6 0.91
1 7 0.90
1 8 0.77
1 9 0.49
1 10 0.21
1 11 0.07
2 0 0.25
2 1 0.49
2 2 0.83
2 3 1.0
2 4 0.97
2 5 0.90
2 6 0.90
2 7 0.97
2 8 1.0
2 9 0.83
2 10 0.49
2 11 0.25
3 0 0.48
3 1 0.77
3 2 1.0
3 3 0.89
3 4 0.62
3 5 0.47
3 6 0.47
3 7 0.62
3 8 0.89
3 9 1.0
3 10 0.77
3 11 0.48
4 0 0.63
4 1 0.90
4 2 0.97
4 3 0.62
4 4 0.26
4 5 0.11
4 6 0.11
4 7 0.26
4 8 0.62
4 9 0.97
4 10 0.90
4 11 0.63
5 0 0.66
5 1 0.91
5 2 0.90
5 3 0.47
5 4 0.11
5 5 0.01
5 6 0.01
5 7 0.11
5 8 0.47
5 9 0.90
5 10 0.91
5 11 0.66
6 0 0.66
6 1 0.90
6 2 0.87
6 3 0.44
6 4 0.09
6 5 0.0
6 6 0.0
6 7 0.09
6 8 0.4407
6 9 0.87
6 10 0.90
6 11 0.66
7 0 0.66
7 1 0.90
7 2 0.87
7 3 0.44
7 4 0.09
7 5 0.0
7 6 0.0
7 7 0.09
7 8 0.44
7 9 0.87
7 10 0.90
7 11 0.66
8 0 0.66
8 1 0.90
8 2 0.87
8 3 0.44
8 4 0.09
8 5 0.0
8 6 0.0
8 7 0.09
8 8 0.44
8 9 0.87
8 10 0.90
8 11 0.66
9 0 0.66
9 1 0.90
9 2 0.87
9 3 0.44
9 4 0.09
9 5 0.0
9 6 0.0
9 7 0.09
9 8 0.44
9 9 0.87
9 10 0.90
9 11 0.66
10 0 0.66
10 1 0.91
10 2 0.90
10 3 0.47
10 4 0.11
10 5 0.01
10 6 0.01
10 7 0.11
10 8 0.47
10 9 0.90
10 10 0.91
10 11 0.66
11 0 0.63
11 1 0.90
11 2 0.97
11 3 0.62
11 4 0.26
11 5 0.11
11 6 0.11
11 7 0.26
11 8 0.62
11 9 0.97
11 10 0.90
11 11 0.63
12 0 0.48
12 1 0.77
12 2 1.0
12 3 0.89
12 4 0.62
12 5 0.47
12 6 0.47
12 7 0.62
12 8 0.89
12 9 1.0
12 10 0.77
12 11 0.48
13 0 0.25
13 1 0.49
13 2 0.83
13 3 1.0
13 4 0.97
13 5 0.90
13 6 0.90
